evidence_id,objective_id,category,gate_name,required_measurement_or_artifact,pass_criterion,evidence_path,responsible_step,issue_url,dependencies,status,failure_action,owner_decision_required,notes
E018,O0.4,commodity,Candidate commodity definitions,"Raw, mapped, included, excluded, unresolved and coordinate-valid counts for each definition plus coherence assessment","At least one scientifically defensible definition proceeds, otherwise SWITCH/STOP",reports/stage0/commodity_definition_comparison.csv;configs/commodities/,0.13,https://github.com/Lukeyone/geoprospect/issues/15,E017,planned,"Switch commodity/deposit-system definition or STOP",yes,"Broadening labels cannot hide a failing result"
E019,O0.5,deduplication,Deduplication method,"Authoritative-ID, parent-child, normalised-name and projected-distance grouping rules with confidence and review triggers","Method is deterministic, reversible, tested and preserves all source records",docs/stage0/deduplication_specification.md;configs/deduplication.yaml;tests/stage0/,0.14,https://github.com/Lukeyone/geoprospect/issues/16,E018,planned,"Repair rules or require manual resolution",yes,"Projected distances only"
E020,O0.5,gate,Positive count,"Deduplicated high-confidence canonical positive sites",">=80 high-confidence sites; >=120 preferred",reports/stage0/canonical_sites.parquet;reports/stage0/deduplication_summary.csv;reports/stage0/gate_results.yaml,0.15,https://github.com/Lukeyone/geoprospect/issues/17,E019,planned,"Expand region or switch commodity/definition; do not lower threshold",yes,"Count applies to independent sites, not raw rows"
E021,O0.6,regions,Candidate study areas,"Versioned boundaries with CRS, rationale, context buffer, positive count and geological-coherence notes","At least three comparable candidates where feasible; evidence explains any exception",configs/study_areas/;reports/stage0/candidate_area_catalogue.csv,0.16,https://github.com/Lukeyone/geoprospect/issues/18,E020,planned,"Add candidate, broaden/constrain region or SWITCH",yes,"Do not select largest boundary automatically"
E022,O0.8,spatial,Provisional cells and blocks,"Verified projected CRS, provisional 5 km cells, approximately 50 km blocks, deterministic IDs and site assignments","Assignments are reproducible and boundary sensitivity is documented",reports/stage0/provisional_cells.parquet;reports/stage0/provisional_blocks.parquet;reports/stage0/crs_decision.md,0.17,https://github.com/Lukeyone/geoprospect/issues/19,E021,planned,"Correct CRS/grid design or test alternate origin/size",yes,"Provisional identifiers are not production-ready"
E023,O0.7,gate,Geology coverage,"Percent of candidate cells intersecting a valid geology unit, by candidate and block",">=95% valid geology coverage",reports/stage0/geology_coverage.csv;reports/stage0/gate_results.yaml,0.18,https://github.com/Lukeyone/geoprospect/issues/20,E009;E022,planned,"Repair layer, reduce boundary or switch source",yes,"Record map scale and surface/interpreted status"
E024,O0.7,coverage,Structures context,"Extent overlap, geometry validity, feature density, taxonomy and obvious gaps","Coverage and limitations are measured and usable for later feature planning",reports/stage0/structures_coverage.csv,0.18,https://github.com/Lukeyone/geoprospect/issues/20,E010;E022,planned,"Repair/replace layer or document limitation",no,"No standalone percentage threshold in governing plan"
E025,O0.7,gate,Magnetic coverage,"Valid magnetic pixels after masking, by candidate and block",">=90% valid magnetic coverage",reports/stage0/magnetic_coverage.csv;reports/stage0/gate_results.yaml,0.19,https://github.com/Lukeyone/geoprospect/issues/21,E011;E022,planned,"Acquire alternate grid or constrain/switch boundary",yes,"Record effective resolution and survey joins"
E026,O0.7,gate,Gravity coverage,"Valid gravity pixels after masking, by candidate and block",">=90% valid gravity coverage",reports/stage0/gravity_coverage.csv;reports/stage0/gate_results.yaml,0.19,https://github.com/Lukeyone/geoprospect/issues/21,E012;E022,planned,"Acquire alternate grid or constrain/switch boundary",yes,"Record station/survey and interpolation context"
E027,O0.8,gate,Spatial block occupancy,"Number of useful spatial blocks containing deduplicated positives",">=8 useful positive spatial blocks",reports/stage0/block_positive_summary.csv;reports/stage0/gate_results.yaml,0.20,https://github.com/Lukeyone/geoprospect/issues/22,E020;E022;E023;E025;E026,planned,"Review block design, broaden region or switch target",yes,"Alternative block origins/sizes require sensitivity evidence"
E028,O0.8,gate,Cluster dominance,"Largest mine/camp cluster share and concentration pattern","No unacceptable dominance by one mine cluster",reports/stage0/camp_concentration_summary.csv;reports/stage0/gate_results.yaml,0.20,https://github.com/Lukeyone/geoprospect/issues/22,E020;E022,planned,"Broaden region, redesign blocks or switch target",yes,"Acceptance requires documented concentration judgement"
E029,O0.8,gate,Evaluation feasibility,"Positive counts in every proposed held-out spatial test fold","Every test fold supports meaningful top-k and precision-recall evaluation",reports/stage0/fold_simulation_summary.csv;reports/stage0/gate_results.yaml,0.20,https://github.com/Lukeyone/geoprospect/issues/22,E027;E028,planned,"Use larger blocks/leave-region-out, broaden scope or switch",yes,"No predictive performance is tested in Stage 0"
E030,O0.9,gate,Exploration bias,"Occurrence density relative to survey coverage, data completeness, observation/sampling density and accessibility diagnostics","Risk is manageable or severe-but-testable with binding mitigation; disqualifying bias fails candidate",reports/stage0/exploration_bias_assessment.md;reports/stage0/gate_results.yaml,0.21,https://github.com/Lukeyone/geoprospect/issues/23,E023;E025;E026;E027;E028,planned,"Switch scope or STOP when bias is inseparable from labels",yes,"Road proximity is diagnostic only, not geological evidence"
E031,O0.6,comparison,Candidate comparison,"Common matrix of commodity-region counts, spread, coverage, licensing, bias and coherence","Every tested candidate has comparable pass/fail evidence and a defensible recommendation",reports/stage0/candidate_comparison_matrix.csv,0.22,https://github.com/Lukeyone/geoprospect/issues/24,E013;E018;E020;E023;E025;E026;E027;E028;E029;E030,planned,"Test corrective or SWITCH candidate; do not cherry-pick",yes,"Prefer smallest scientifically coherent passing boundary"
E032,O0.10,decision,Formal gate evaluation,"Measured value, threshold, status, evidence path and failure action for every mandatory gate","No mandatory gate is unresolved and GO is impossible if any gate fails",reports/stage0/gate_results.yaml,0.23,https://github.com/Lukeyone/geoprospect/issues/25,E031,planned,"Resolve missing evidence or issue SWITCH/STOP",no,"Gate logic requires boundary tests"
E033,O0.10,reporting,Feasibility report,"Executive decision, sources, counts, definitions, duplicates, regions, coverage, spread, bias, licences, risks and limitations","Every conclusion is traceable to evidence and internally consistent",reports/stage0/feasibility_report.md,0.24,https://github.com/Lukeyone/geoprospect/issues/26,E032,planned,"Correct report or withhold decision",no,"Negative findings must remain visible"
E034,O0.10,decision,ADR-001,"One GO, SWITCH or STOP outcome, alternatives, rationale, consequences and unresolved questions","ADR, report and gate-results file agree",docs/decisions/ADR-001-commodity-region-selection.md,0.25,https://github.com/Lukeyone/geoprospect/issues/27,E032;E033,planned,"Reconcile contradictions before decision",yes,"Final decision requires owner sign-off"
E035,O0.10,handover,Stage 1 authorisation or withholding,"Exact selected scope and sources for GO, repeated steps for SWITCH, or explicit withholding for STOP","Stage 1 is authorised only for one exact passing scope; otherwise it remains blocked",reports/stage0/stage1_handover.md,0.26,https://github.com/Lukeyone/geoprospect/issues/28,E034,planned,"Keep Stage 1 blocked and correct handover",yes,"Master issue #1 remains open until final outcome"
